Year,Name, MeanAvgTemperature, mcnt
1940,DUNCAN, M,7219
1940,MERRIMAN, M,495
1940,MCCOOK, M,164
1940,NORFOLK CY AUDITORIUM, M,6938
1940,NORFOLK KARL STEFAN AP, M,2101
1940,LEXINGTON KELLY FLD, M,4229
1940,LEXINGTON 7 ESE, M,5538
1940,TRYON, M,2558
1940,Scottsbluff Area, M,90
1940,Grand Island Area,50.5,0
1940,North Platte Area,49.5,0
1940,Lincoln Area,51.6,2
1940,Norfolk Area, M,102
1940,Omaha Area,51.4,1
1940,Valentine Area, M,6
1940,OMAHA WSFO, M,5387
1940,CLAY CTR 6 ESE, M,230
1940,OMAHA EPPLEY AIRFIELD,51.4,1
1940,CHADRON MUNI AP, M,44
1940,BURWELL, M,3090
1940,FALLS CITY, M,52
1940,FALLS CITY BRENNER FLD, M,141
1940,ENDERS LAKE, M,4272
1940,GENEVA, M,51
1940,MINDEN, M,140
1940,HAYES CENTER, M,192
1940,IMPERIAL MUNI AP, M,4197
1940,IMPERIAL, M,226
1940,HASTINGS 4 N, M,211
1940,FAIRMONT, M,607
1940,CURTIS 3 NNE, M,302
1940,CRETE, M,254
1940,NEBRASKA CITY 1 NW, M,75
1940,SYRACUSE, M,700
1940,FRIEND 3E, M,6462
1940,KEARNEY MUNI AP, M,7216
1940,KEARNEY 4 NE, M,212
1940,ELM CREEK 1 SSW, M,3413
1940,MC COOL JUNCTION, M,7306
1940,LEXINGTON, M,3817
1940,LINCOLN UNIV PWR PLT, M,5722
1940,LINCOLN UNIV CAMPUS, M,1145
1940,LINCOLN UNIV FARM, M,7072
1940,WEEPING WATER, M,85
1940,LINCOLN AGRNMY FARM, M,12
1940,LINCOLN AFB, M,3832
1940,FREMONT, M,135
1940,ARCADIA, M,7306
1940,BROKEN BOW 2 W, M,304
1940,STAPLETON 5 SSE, M,153
1940,OSHKOSH, M,135
1940,COLUMBUS 3 NE, M,221
1940,GENOA 2 W, M,265
1940,NORTH LOUP, M,261
1940,BLAIR, M,324
1940,GREELEY, M,4887
1940,COMSTOCK, M,7292
1940,ARTHUR, M,280
1940,ALBION, M,555
1940,BRIDGEPORT, M,172
1940,DODGE, M,7255
1940,HOWELLS, M,7305
1940,CLARKSON, M,450
1940,TEKAMAH, M,479
1940,CRESCENT LAKE, M,671
1940,WEST POINT, M,361
1940,MADISON 2W, M,166
1940,ERICSON 6 WNW, M,7306
1940,SCOTTSBLUFF HEILIG AP, M,90
1940,HALSEY 2 W, M,320
1940,MINATARE DAM, M,2697
1940,STANTON, M,155
1940,MITCHELL 5 E, M,188
1940,LINCOLN MUNI AP, M,4933
1940,YORK, M,87
1940,AURORA, M,5911
1940,MADRID, M,313
1940,SEWARD, M,279
1940,UTICA, M,7306
1940,GOTHENBURG, M,68
1940,GRAND ISLAND AP,50.5,0
1940,CAIRO, M,7306
1940,RAVENNA, M,91
1940,ASHLAND 2, M,936
1940,NORTH PLATTE EXP FM, M,6880
1940,BIG SPRINGS, M,488
1940,BELLEVUE OFFUTT AFB, M,3303
1940,CENTRAL CITY, M,280
1940,NORTH PLATTE RGNL AP, M,2922
1940,NORTH PLATTE, M,3778
1940,OGALLALA, M,78
1940,SIDNEY MUNI AP, M,2934
1940,SIDNEY 6 NNW, M,245
1940,OSCEOLA, M,358
1940,LODGEPOLE, M,433
1940,SAINT PAUL, M,55
1940,KINGSLEY DAM, M,280
1940,KIMBALL 2NE, M,268
1940,ELKHORN 1 NW, M,7275
1940,DAVID CITY, M,234
1940,LOUP CITY, M,257
1940,CANADAY STEAM PLT, M,4173
1940,HARDY, M,6758
1940,SUPERIOR 4E, M,7305
1940,HAIGLER, M,4771
1940,PAWNEE CITY 5 SE, M,5491
1940,NAPONEE, M,7306
1940,HARLAN CO LAKE, M,3754
1940,LEBANON, M,7306
1940,TRENTON 8 SSW, M,7275
1940,BENKELMAN, M,242
1940,PAWNEE CITY, M,166
1940,WYMORE, M,7305
1940,FAIRBURY, M,351
1940,RED CLOUD, M,116
1940,FRANKLIN, M,482
1940,ALMA, M,419
1940,BEAVER CITY, M,183
1940,HEBRON, M,261
1940,TRENTON DAM, M,3469
1940,STRATTON, M,7275
1940,NELSON, M,153
1940,CULBERTSON, M,69
1940,BEATRICE, M,340
1940,ROSEMONT 2 S, M,2080
1940,OXFORD, M,4364
1940,CAMBRIDGE, M,578
1940,INDIANOLA 2 N, M,5701
1940,BRUNING STATE AP, M,6868
1940,SEDAN, M,7306
1940,AUBURN 5 ESE, M,965
1940,TECUMSEH, M,76
1940,MEDICINE CREEK DAM, M,4312
1940,HOLDREGE, M,45
1940,HOLDREGE 1 E, M,7155
1940,NORFOLK, M,5307
1940,HYANNIS, M,302
1940,OAKDALE, M,212
1940,EWING 12 S, M,7276
1940,CHAMBERS, M,164
1940,PURDUM, M,151
1940,MULLEN, M,928
1940,ALLIANCE, M,129
1940,BOX BUTTE EXP STN, M,303
1940,WALTHILL, M,533
1940,ELSMERE, M,6057
1940,WAKEFIELD, M,354
1940,EWING, M,172
1940,MULLEN 21 NW, M,5366
1940,NE NEBRASKA EXP STN, M,6398
1940,OSMOND, M,522
1940,CREIGHTON, M,5679
1940,ONEILL AFB, M,7277
1940,O NEILL, M,829
1940,ATKINSON 3SW, M,744
1940,AINSWORTH, M,26
1940,VALENTINE NWR, M,3134
1940,HARTINGTON, M,50
1940,NEWPORT, M,734
1940,NENZEL 20 S, M,1202
1940,HAY SPRINGS, M,47
1940,FT ROBINSON, M,811
1940,HARRISON, M,196
1940,NIOBRARA, M,1108
1940,SPRINGVIEW, M,2829
1940,GORDON 6 N, M,381
1940,VALENTINE MILLER FLD, M,6
1940,BUTTE, M,85
1965,MERRIMAN, M,158
1965,MCCOOK, M,2669
1965,MCCOOK MUNI AP, M,1595
1965,NORFOLK KARL STEFAN AP,48.1,1
1965,LEXINGTON KELLY FLD, M,1076
1965,LEXINGTON 7 ESE, M,1064
1965,CLAY CTR, M,2428
1965,CLAY CTR 6 ESE, M,301
1965,OMAHA EPPLEY AIRFIELD,51,0
1965,CHADRON MUNI AP,47.4,2
1965,BURWELL, M,195
1965,FALLS CITY,53.4,3
1965,FALLS CITY BRENNER FLD, M,15
1965,ENDERS LAKE, M,12
1965,GENEVA, M,17
1965,MINDEN, M,48
1965,HAYES CENTER, M,35
1965,IMPERIAL MUNI AP, M,1046
1965,IMPERIAL,50.8,3
1965,HASTINGS 4 N, M,217
1965,FAIRMONT, M,151
1965,CURTIS 3 NNE, M,17
1965,CRETE, M,6
1965,NEBRASKA CITY 2NW, M,22
1965,SYRACUSE, M,82
1965,ROCA 6NNE, M,3653
1965,KEARNEY 4 NE, M,25
1965,LINCOLN COLLEGE VIEW, M,3170
1965,WELLFLEET, M,3604
1965,LINCOLN UNIV PWR PLT, M,123
1965,WALLACE 2 W, M,49
1965,WEEPING WATER, M,236
1965,LINCOLN AGRNMY FARM, M,2260
1965,TRYON, M,306
1965,Scottsbluff Area,48.1,3
1965,Grand Island Area,50,0
1965,North Platte Area,47.6,0
1965,Lincoln Area,51.4,0
1965,Norfolk Area,48.1,1
1965,Omaha Area,51,0
1965,Valentine Area,46.8,3
1965,OMAHA WSFO, M,18
1965,FREMONT, M,23
1965,ARCADIA, M,3623
1965,BROKEN BOW 2 W, M,82
1965,ARNOLD, M,3519
1965,STAPLETON 5 SSE,48.5,5
1965,OSHKOSH, M,18
1965,DALTON,49.3,4
1965,COLUMBUS 3 NE, M,36
1965,GENOA 2 W,49.3,2
1965,NORTH LOUP, M,140
1965,BLAIR, M,34
1965,GREELEY, M,29
1965,ARTHUR, M,33
1965,ORD, M,3262
1965,ANSELMO 2 SE, M,319
1965,ALBION, M,95
1965,BRIDGEPORT, M,14
1965,HARRISBURG 12WNW, M,26
1965,CLARKSON, M,100
1965,TEKAMAH, M,253
1965,TAYLOR, M,3448
1965,CRESCENT LAKE, M,131
1965,WEST POINT, M,25
1965,MADISON 2W, M,11
1965,SCOTTSBLUFF HEILIG AP,48.1,3
1965,HALSEY 2 W, M,118
1965,STANTON, M,47
1965,BREWSTER, M,57
1965,MITCHELL 5 E, M,13
1965,CANADAY STEAM PLT, M,100
1965,SUPERIOR 4E, M,214
1965,GUIDE ROCK, M,3387
1965,HARLAN CO LAKE, M,11
1965,BENKELMAN, M,19
1965,PAWNEE CITY, M,51
1965,FAIRBURY, M,16
1965,RED CLOUD, M,19
1965,FRANKLIN, M,26
1965,ALMA, M,40
1965,BEAVER CITY, M,15
1965,HEBRON,51.4,2
1965,TRENTON DAM,49.9,4
1965,TABLE ROCK 4 N, M,3650
1965,CULBERTSON, M,190
1965,BEATRICE, M,16
1965,ROSEMONT 2 S, M,2503
1965,CAMBRIDGE, M,9
1965,RAGAN, M,3645
1965,AUBURN 5 ESE, M,37
1965,TECUMSEH, M,24
1965,MEDICINE CREEK DAM, M,154
1965,RED WILLOW DAM, M,127
1965,HOLDREGE, M,6
1965,HOLDREGE 1 E, M,2648
1965,LINCOLN MUNI AP, M,2800
1965,YORK, M,8
1965,AURORA, M,29
1965,MADRID, M,7
1965,SEWARD, M,34
1965,GOTHENBURG, M,11
1965,GRAND ISLAND AP,50,0
1965,RAVENNA,50.1,5
1965,ASHLAND 2, M,160
1965,OCONTO, M,53
1965,NORTH PLATTE EXP FM, M,48
1965,BIG SPRINGS, M,503
1965,BELLEVUE OFFUTT AFB, M,1512
1965,ULYSSES 3 NNE, M,3340
1965,CENTRAL CITY, M,7
1965,NORTH PLATTE RGNL AP,47.6,0
1965,OGALLALA, M,44
1965,SIDNEY MUNI AP, M,8
1965,SIDNEY 6 NNW, M,62
1965,MEAD 6 S, M,1397
1965,OSCEOLA, M,66
1965,HERSHEY 5 SSE, M,474
1965,LODGEPOLE, M,16
1965,WAHOO, M,108
1965,SAINT PAUL, M,135
1965,KINGSLEY DAM, M,16
1965,KIMBALL 2NE, M,11
1965,DAVID CITY, M,13
1965,LOUP CITY, M,119
1965,HYANNIS, M,2022
1965,OAKDALE, M,10
1965,CHAMBERS, M,1932
1965,PURDUM, M,43
1965,MULLEN, M,278
1965,ALLIANCE, M,21
1965,BOX BUTTE EXP STN, M,34
1965,WALTHILL, M,460
1965,ROSE 10 WNW, M,2503
1965,ELSMERE, M,95
1965,WAKEFIELD,48.1,5
1965,EWING, M,39
1965,BROWNLEE, M,1209
1965,MULLEN 21 NW, M,304
1965,ELLSWORTH 15 NNE, M,16
1965,NE NEBRASKA EXP STN, M,265
1965,OSMOND, M,109
1965,HEMINGFORD, M,31
1965,AGATE 3 E, M,1475
1965,CREIGHTON, M,26
1965,O NEILL, M,17
1965,HAY SPRINGS 12 S, M,68
1965,ATKINSON 3SW, M,39
1965,AINSWORTH, M,9
1965,VALENTINE NWR, M,37
1965,HARTINGTON, M,43
1965,BLOOMFIELD, M,3641
1965,NEWPORT, M,10
1965,NENZEL 20 S, M,70
1965,HAY SPRINGS, M,118
1965,FT ROBINSON, M,499
1965,HARRISON, M,33
1965,RUSHVILLE, M,3419
1965,NIOBRARA, M,41
1965,SPENCER 5 SSE, M,3262
1965,SPRINGVIEW, M,35
1965,GORDON 6 N, M,96
1965,GAVINS POINT DAM, M,19
1965,VALENTINE MILLER FLD,46.8,3
1965,BUTTE, M,87
1975,OMAHA EPPLEY AIRFIELD,50.2,3
1975,CHADRON MUNI AP,48.1,0
1975,BURWELL, M,1570
1975,FALLS CITY, M,1145
1975,FALLS CITY BRENNER FLD, M,226
1975,TRYON, M,2447
1975,Scottsbluff Area,49.5,1
1975,Grand Island Area,49.8,0
1975,North Platte Area,47.9,0
1975,Lincoln Area,50.5,2
1975,Norfolk Area,48.6,0
1975,Omaha Area,50.3,1
1975,Valentine Area,46.8,4
1975,OMAHA WSFO,49.9,0
1975,MERRIMAN, M,126
1975,NENZEL 23 SSW, M,2945
1975,OVERTON 3 W, M,3389
1975,BEATRICE 1N, M,3595
1975,CRAWFORD, M,3607
1975,MCCOOK MUNI AP, M,258
1975,NORFOLK KARL STEFAN AP,48.6,0
1975,CLAY CTR, M,105
1975,CANADAY STEAM PLT, M,136
1975,SUPERIOR 4E, M,7
1975,GUIDE ROCK, M,3514
1975,HARLAN CO LAKE, M,56
1975,BENKELMAN, M,197
1975,PAWNEE CITY, M,259
1975,FAIRBURY, M,111
1975,RED CLOUD, M,124
1975,FRANKLIN, M,25
1975,ALMA, M,2442
1975,BEAVER CITY, M,51
1975,HEBRON, M,41
1975,TRENTON DAM, M,617
1975,TABLE ROCK 4 N, M,3432
1975,CULBERTSON, M,52
1975,BEATRICE, M,135
1975,CAMBRIDGE, M,26
1975,RAGAN, M,3233
1975,AUBURN 5 ESE, M,23
1975,TECUMSEH, M,26
1975,MEDICINE CREEK DAM, M,216
1975,RED WILLOW DAM, M,999
1975,HOLDREGE, M,155
1975,ENDERS LAKE, M,137
1975,GENEVA, M,120
1975,MINDEN, M,20
1975,HAYES CENTER, M,147
1975,IMPERIAL, M,11
1975,HASTINGS 4 N, M,72
1975,FAIRMONT, M,13
1975,CURTIS 3 NNE, M,744
1975,CRETE, M,39
1975,NEBRASKA CITY 2NW, M,65
1975,SYRACUSE, M,258
1975,KEARNEY 4 NE, M,305
1975,LINCOLN COLLEGE VIEW, M,3594
1975,LINCOLN UNIV PWR PLT, M,132
1975,WALLACE 2 W, M,75
1975,WEEPING WATER, M,102
1975,LINCOLN MUNI AP,50.5,2
1975,YORK, M,41
1975,AURORA, M,40
1975,MADRID, M,28
1975,SEWARD, M,15
1975,GOTHENBURG, M,169
1975,GRAND ISLAND AP,49.8,0
1975,RAVENNA, M,60
1975,ASHLAND 2, M,238
1975,OCONTO, M,388
1975,NORTH PLATTE EXP FM, M,167
1975,BIG SPRINGS, M,294
1975,CENTRAL CITY, M,38
1975,NORTH PLATTE RGNL AP,47.9,0
1975,OGALLALA, M,433
1975,SIDNEY MUNI AP, M,24
1975,SIDNEY 6 NNW, M,308
1975,MEAD 6 S, M,283
1975,OSCEOLA, M,127
1975,HERSHEY 5 SSE, M,695
1975,LODGEPOLE, M,506
1975,WAHOO, M,239
1975,SAINT PAUL, M,364
1975,KINGSLEY DAM, M,215
1975,POTTER, M,3654
1975,KIMBALL 2NE, M,14
1975,DAVID CITY, M,12
1975,LOUP CITY, M,190
1975,BENNINGTON 3 WSW, M,3450
1975,FREMONT, M,12
1975,BROKEN BOW 2 W, M,83
1975,ARNOLD, M,3120
1975,STAPLETON 5 SSE, M,499
1975,OSHKOSH, M,102
1975,DALTON, M,85
1975,SCHUYLER, M,3379
1975,COLUMBUS 3 NE, M,46
1975,GENOA 2 W,49.4,3
1975,NORTH LOUP, M,21
1975,BLAIR, M,194
1975,GREELEY, M,75
1975,ARTHUR, M,293
1975,ORD, M,3623
1975,ANSELMO 2 SE, M,145
1975,TRYON 6 NE, M,2507
1975,ALBION, M,39
1975,BRIDGEPORT, M,15
1975,HARRISBURG 12WNW, M,19
1975,HOWELLS, M,3287
1975,CLARKSON, M,45
1975,TEKAMAH, M,391
1975,CRESCENT LAKE, M,105
1975,WEST POINT, M,39
1975,MADISON 2W, M,109
1975,ERICSON 6 WNW, M,3608
1975,BARTLETT 1S, M,3042
1975,SCOTTSBLUFF HEILIG AP,49.5,1
1975,HALSEY 2 W, M,210
1975,STANTON, M,24
1975,BREWSTER, M,664
1975,MITCHELL 5 E, M,123
1975,BARTLETT 9 NW, M,3584
1975,HYANNIS, M,39
1975,OAKDALE,47.4,5
1975,EWING 12 S, M,3654
1975,CHAMBERS, M,908
1975,PURDUM, M,210
1975,MULLEN, M,681
1975,ALLIANCE, M,379
1975,BOX BUTTE EXP STN, M,1509
1975,NW AG LAB, M,2419
1975,WALTHILL, M,1463
1975,ROSE 10 WNW, M,116
1975,ELSMERE, M,110
1975,WAKEFIELD, M,9
1975,EWING, M,9
1975,BROWNLEE, M,991
1975,MULLEN 21 NW, M,959
1975,ELLSWORTH 15 NNE, M,288
1975,NE NEBRASKA EXP STN, M,100
1975,OSMOND, M,460
1975,HEMINGFORD, M,39
1975,AGATE 3 E, M,464
1975,CREIGHTON, M,137
1975,O NEILL, M,63
1975,HAY SPRINGS 12 S, M,109
1975,ATKINSON 3SW, M,96
1975,AINSWORTH, M,7
1975,VALENTINE NWR, M,211
1975,HARTINGTON, M,87
1975,BLOOMFIELD, M,3654
1975,NEWPORT, M,9
1975,NENZEL 20 S, M,979
1975,HAY SPRINGS, M,182
1975,FT ROBINSON, M,2166
1975,HARRISON, M,42
1975,NIOBRARA, M,86
1975,SPENCER 5 SSE, M,3481
1975,SPRINGVIEW, M,43
1975,GORDON 6 N, M,1881
1975,GAVINS POINT DAM, M,110
1975,VALENTINE MILLER FLD,46.8,4
1975,BUTTE, M,26
1985,OMAHA EPPLEY AIRFIELD,50.9,0
1985,CHADRON MUNI AP, M,2964
1985,CHADRON 3 SW, M,1528
1985,BURWELL, M,108
1985,FALLS CITY BRENNER FLD, M,191
1985,BESSY NEBRASKA, M,1172
1985,KINGS CANYON NEBRASKA, M,1818
1985,ENDERS LAKE, M,140
1985,GENEVA, M,21
1985,MINDEN, M,20
1985,HAYES CENTER, M,23
1985,IMPERIAL, M,39
1985,HASTINGS 4 N, M,118
1985,FAIRMONT, M,124
1985,CURTIS 3 NNE, M,246
1985,CRETE, M,136
1985,NEBRASKA CITY 2NW, M,153
1985,SYRACUSE, M,23
1985,KEARNEY 4 NE, M,280
1985,LINCOLN UNIV PWR PLT, M,676
1985,WALLACE 2 W, M,412
1985,WEEPING WATER, M,90
1985,MERRIMAN, M,119
1985,FRANKLIN 2, M,2164
1985,NENZEL 23 SSW, M,494
1985,OVERTON 3 W, M,202
1985,BEATRICE 1N, M,124
1985,CRAWFORD, M,51
1985,CROFTON, M,1326
1985,STAPLETON 5 W, M,1749
1985,OXFORD 7 NW, M,3507
1985,VALLEY 1 WNW, M,3498
1985,MC COOK, M,1752
1985,MCCOOK MUNI AP, M,1943
1985,NORFOLK KARL STEFAN AP,49.6,1
1985,CLAY CTR, M,249
1985,TRYON, M,835
1985,Scottsbluff Area,48.5,0
1985,Grand Island Area,50.9,0
1985,North Platte Area,49.2,0
1985,Lincoln Area,51.7,0
1985,Norfolk Area,49.6,1
1985,Omaha Area,51.2,0
1985,Valentine Area,47.4,0
1985,OMAHA #1, M,3499
1985,OMAHA WSFO, M,219
1985,LINCOLN MUNI AP,51.7,0
1985,YORK, M,59
1985,AURORA, M,42
1985,MADRID, M,50
1985,SEWARD, M,35
1985,GOTHENBURG, M,115
1985,GRAND ISLAND AP,50.9,0
1985,RAVENNA, M,196
1985,ASHLAND 2, M,28
1985,SURPRISE, M,995
1985,OCONTO, M,80
1985,NORTH PLATTE EXP FM, M,53
1985,BIG SPRINGS, M,279
1985,CENTRAL CITY, M,41
1985,NORTH PLATTE RGNL AP,49.2,0
1985,OGALLALA, M,268
1985,SIDNEY MUNI AP, M,2966
1985,SIDNEY 6 NNW, M,184
